cost_basis,attainability_status,selection_condition,recommended_for_inference,charged_per_side,n_2019,sharpe_2019,p_2019,n_2013,sharpe_2013,p_2013,n_pooled,sharpe_pooled,ann_sharpe_pooled,p_pooled,ci_lo_pooled,ci_hi_pooled,dsr_pooled,pnl_pooled
assumed_fixed_cost,attainable_proxy,"none: modelling assumption, 4% quoted width charged as a half-cross",yes,0.02,198,0.11732142298443579,0.04996354739097442,193,-0.005337172220050644,0.5295528289630684,391,0.05599152660032387,0.32814331196339735,0.13429963680684098,-0.043864243366966114,0.17680080107625393,2.9271440676808474e-12,29595.743863360498
measured_1559_snapshot,best_empirical_basis,"none: the prevailing book at the mark, unconditional on a trade",yes,0.0178709248170325,198,0.12442051871068528,0.04057820631951925,193,0.0013774184232137473,0.49236642639032124,391,0.06289888123083083,0.3686244769357265,0.10702302158590316,-0.037674069827615925,0.18483214006690235,1.0395099144737053e-11,33789.1571020058
trade_conditional_print,selection_biased,"conditional on a print having occurred, which selects tight-spread states",no,0.0076109950182578,198,0.15901023923411414,0.013092335117854015,193,0.03413041676243831,0.31774393523450284,391,0.09657105834867516,0.5659632599865828,0.028381429675731318,-0.007466543455412281,0.22336083366848974,2.493551999204908e-09,53997.05102230704
